"","ward_id","ward_tikicode","ward_name","district_id","district_tikicode","district_name","region_id","region_tikicode","region_name"
0,3563,"VN034018009","Phường Nguyễn Trung Trực",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
1,3564,"VN034018001","Phường Cống Vị",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
2,3565,"VN034018002","Phường Điện Biên",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
3,3566,"VN034018003","Phường Đội Cấn",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
4,3567,"VN034018004","Phường Giảng Võ",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
5,3568,"VN034018005","Phường Kim Mã",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
6,3569,"VN034018006","Phường Liễu Giai",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
7,3570,"VN034018007","Phường Ngọc Hà",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
8,3571,"VN034018008","Phường Ngọc Khánh",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
9,3572,"VN034018010","Phường Phúc Xá",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
10,3573,"VN034018011","Phường Quán Thánh",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
11,3574,"VN034018012","Phường Thành Công",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
12,3575,"VN034018013","Phường Trúc Bạch",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
13,3576,"VN034018014","Phường Vĩnh Phúc",1,"VN034018","Quận Ba Đình",297,"VN034","Hà Nội"
14,3674,"VN034025001","Phường Đại Kim",2,"VN034025","Quận Hoàng Mai",297,"VN034","Hà Nội"
15,3675,"VN034025002","Phường Định Công",2,"VN034025","Quận Hoàng Mai",297,"VN034","Hà Nội"
16,3676,"VN034025003","Phường Giáp Bát",2,"VN034025","Quận Hoàng Mai",297,"VN034","Hà Nội"
17,3677,"VN034025004","Phường Hoàng Liệt",2,"VN034025","Quận Hoàng Mai",297,"VN034","Hà Nội"
18,3678,"VN034025005","Phường Hoàng Văn Thụ",2,"VN034025","Quận Hoàng Mai",297,"VN034","Hà Nội"
19,3679,"VN034025006","Phường Lĩnh Nam",2,"VN034025","Quận Hoàng Mai",297,"VN034","Hà Nội"
